correctness_original,validity_original,correctness_only_function_names,validity_only_function_names
1,1,0.71,1
0,1,0.0,1
1,1,0.0,1
1,1,0.67,1
1,1,N/A,0
1,1,1.0,1
0,1,0.0,1
1,1,1.0,1
N/A,0,N/A,0
0.25,1,1.0,1
0.2,1,0.2,1
1,1,0.0,1
0.33,1,1.0,1
1,1,1.0,1
0,1,0.0,1
1,1,0.0,1
1,1,0.4,1
0.2,1,N/A,0
0.75,1,0.75,1
0.4,1,N/A,0
0,1,0.2,1
1,1,0.0,1
1,1,1.0,1
1,1,1.0,1
0,1,0.0,1
0,1,0.0,1
0.67,1,0.67,1
1,1,1.0,1
1,1,1.0,1
1,1,1.0,1
1,1,1.0,1
0.92,1,1.0,1
N/A,0,N/A,0
N/A,0,N/A,0
1,1,1.0,1
1,1,1.0,1
1,1,0.0,1
N/A,0,0.0,1
0,1,0.0,1
1,1,0.3,1
1,1,0.0,1
0,1,0.0,1
1,1,1.0,1
0.67,1,0.67,1
1,1,0.0,1
1,1,1.0,1
N/A,0,0.0,1
0,1,N/A,0
1,1,1.0,1
1,1,0.0,1
1,1,1.0,1
1,1,0.71,1
1,1,0.0,1
1,1,1.0,1
0.57,1,0.57,1
1,1,1.0,1
0,1,0.67,1
1,1,1.0,1
1,1,0.25,1
0.8,1,1.0,1
1,1,1.0,1
1,1,1.0,1
0,1,0.2,1
1,1,0.14,1
0.43,1,0.43,1
0.4,1,N/A,0
1,1,N/A,0
N/A,0,N/A,0
1,1,N/A,0
N/A,0,0.2,1
N/A,0,N/A,0
0.56,1,0.11,1
1,1,N/A,0
0,1,0.0,1
0.89,1,0.0,1
0,1,0.4,1
0.6,1,0.6,1
0.63,1,0.625,1
0.43,1,N/A,0
1,1,0.0,1
0.88,1,0.75,1
0.33,1,0.0,1
1,1,0.0625,1
0.2,1,0.2,1
0,1,0.0,1
0,1,0.0,1
0.43,1,0.71,1
0.67,1,N/A,0
N/A,0,0.71,1
0,1,0.0,1
0.71,1,N/A,0
0.17,1,0.5,1
1,1,0.7,1
0,1,0.0,1
0.11,1,0.0,1
0,1,N/A,0
0.6,1,0.1,1
0.25,1,0.25,1
0.71,1,0.43,1
0.8,1,N/A,0
0,1,0.0,1
0.17,1,0.0,1
0.5,1,0.25,1
0.17,1,0.0,1
0,1,0.0,1
1,1,0.0,1
0.25,1,0.0,1
1,1,0.0,1
0.5,1,0.25,1
0.6,1,0.0,1
0.57,1,0.0,1
0.71,1,N/A,0
1,1,0.0,1
0,1,N/A,0
0.33,1,0.33,1
N/A,0,N/A,0
1,1,0.29,1
0,1,0.29,1
0.31,1,0.31,1
0.58,1,N/A,0
0.91,1,0.0,1
1,1,0.0,1
0.6,1,0.4,1
0.25,1,N/A,0
0,1,N/A,0
0.38,1,0.375,1
0.85,1,0.85,1
N/A,0,0.0,1
0.13,1,0.0,1
0,1,0.0,1
N/A,0,0.0,1
0.86,1,0.0,1
0.71,1,0.64,1
0.67,1,0.67,1
0.7,1,N/A,0
0.4,1,0.0,1
N/A,0,N/A,0
0.75,1,N/A,0
0.75,1,0.375,1
0,1,0.25,1
0.2,1,0.6,1
0.96,1,0.0,1
0.18,1,0.27,1
1,1,0.0,1
0,1,0.0,1
N/A,0,N/A,0
0.71,1,0.0,1
0,1,0.25,1
0.14,1,N/A,0
0.14,1,0.0,1
1,1,N/A,0
0.71,1,N/A,0
1,1,0.0,1
0,1,N/A,0
0.5,1,0.5,1
N/A,0,N/A,0
0,1,0.0,1
0.64,1,0.91,1
0.9,1,0.0,1
0.67,1,N/A,0
0,1,N/A,0
0.25,1,0.0,1
N/A,0,N/A,0
0,1,0.0,1
